Clonal Complex,Serotypes,References #
CC1,"19A, 14, 9V, 7F, 23F",39
CC2,"9V, 14",39
CC3,"3, 19A, 19F",39
CC4,"9N, 15A, 23F",39
CC5,"6A, 6B, 17F 19F, 23F,",39
CC6,"6A, 6B, 19F",39
CC7,"6A, 7F, 10A",39
CC8,"8, 9N, 11A, 23F",39
CC9,"9V, 14, 19F, 23F",39
CC10,"1, 19F",39
CC11,"6A,11A, 11B, 11C, 19F",39
CC12,"6A, 6B, 12F",39
CC13,"3, 14, 18C","39, 40"
CC14,3,39
CC15,"14, 19F",41
CC18,14,42
CC53,8,41
CC63,"15A, 19A","40, 43"
CC66,"7B, 9N, 14, 19F, 23F",44
CC81,"6C, 13, 15A, 15B/C, 19F, 23F","41, 45"
CC87,19F,42
CC88,19F,42
CC90,6B,42
CC113,"9V, 17F, 18B, 18C, 35C",44
CC124,"9L, 11C, 14, 17F","44, 46"
CC143,14,40
CC144,14,40
CC146,6B,46
CC156,"9V, 9A, 14, 19F, 19A, 38","41, 44"
CC162,"9V, 9A, 19A, 14","44, 46"
CC166,"9V, 11A",45
CC172,19A,43
CC173,23F,40
CC176,"6B, 23F",46
CC177,19F,41
CC180,3,41
CC191,"7A, 7F",44
CC193,19A,43
CC199,"15B/C, 19A",47
CC205,4,42
CC218,"7F, 12F",44
CC230,19A,43
CC236,"19A, 19F","40, 43"
CC239,9V,40
CC242,23F,42
CC260,3,48
CC271,"19A, 19F","42, 43"
CC276,19A,43
CC304,1,41
CC306,1,42
CC315,6B,40
CC319,19A,40
CC320,"19A, 19F","42, 43"
CC350,1,41
CC385,6B,42
CC392,17F,42
CC422,19F,42
CC439,"23A, 23F, 23B","41, 42"
CC476,19F,42
CC490,"2, 6B, 6C, 10F, 18F, 22A",42
CC554,14,42
CC557,19F,40
CC558,"35B, 35D",49
CC574,"2, 17F",44
CC606,6B,40
CC663,23F,50
CC675,6A,40
CC695,19A,43
CC733,19A,43
CC790,14,40
CC1027,19F,40
CC1106,14,42
CC1118,19A,43
CC1492,14,40
CC1545,19F,40
CC1569,14,40
CC1815,14,40
CC2140,23F,40
CC2306,9V,40
CC2323,19F,40
CC2336,14,40
CC2337,6B,40
CC2338,23F,40
CC2755,"35B, 35D",49
CC2955,23F,40
CC3111,19A,43
CC4909,2,48
CC4399,"12F, 19F",42