Serotype,MLST,ST,Reference #
1,1-5-4-4-9-3-16,12,38
1,1-5-4-5-5-3-8,15,38
1,1-8-9-9-6-4-6,42,38
1,2-13-2-4-9-4-1,72,38
1,2-32-9-47-6-21-17,458,38
1,4-4-2-4-4-1-1,81,38
1,5-10-9-43-13-1-14,600,38
1,7-5-1-8-14-11-14,124,38
1,7-13-8-6-6-6-8,361,38
1,7-14-40-12-1-1-14,179,38
1,7-32-8-12-6-6-63,342,38
1,8-9-2-1-6-1-17,191,38
1,10-5-4-1-7-19-9,303,38
1,10-5-4-5-13-10-18,205,38
1,10-9-4-1-6-4-94,611,38
1,10-18-4-1-7-19-9,217,38
1,10-18-49-1-17-19-9,302,38
1,10-31-4-34-6-4-5,300,38
1,12-5-13-5-17-4-20,227,38
1,12-8-1-5-17-4-20,228,38
1,12-8-13-5-16-4-20,306,38
1,13-8-13-5-13-4-28,350,38
1,13-8-13-5-17-4-8,304,38
1,13-8-13-5-17-4-28,305,38
1,15-29-4-21-30-1-14,242,38
1,17-8-13-5-17-4-28,250,38
1,31-31-4-34-6-4-5,301,38
3,1-26-28-11-13-1-14	,,39
3,1-26-28-11-452-1-14	,,39
3,2-12-19-1-6-615-22	,,39
3,5-35-29-12-9-39-18	,,39
3,7-15-2-10-6-1-22	,,39
4,10-5-4-5-13-10-18,,39
6A,2-13-9-1-6-19-14	,,39
6A,2-13-9-16-6-1-62,,40
6A,5-7-4-10-10-1-27	,,39
6A,7-5-8-5-10-6-14	,,39
6A,7-25-4-4-15-20-28	,,39
6B,1-9-53-10-10-28-18,,40
6B,5-5-1-2-6-3-4,,40
6B,7-5-8-5-10-6-14,,39
6B,7-6-1-1-6-15-14,,39
6B,7-6-1-2-6-15-14	,,39
6B,7-25-4-2-48-20-28	,,39
6B,15-16-19-10-6-20-26	,,39
6B,16-28-1-1-15-14-14,,40
6B,20-28-1-1-15-14-14	,,40
7F,8-9-2-1-6-1-17	,,39
9V,7-11-10-1-6-8-1	,,39
9V,7-11-10-1-6-8-14	,,39
9V,7-11-10-1-6-8-119       ,,40
9V,15-17-4-16-6-19-17        ,,40
9N,2-8-2-4-6-1-1	,,39
9N,8-13-14-4-17-4-14	,,39
10A,5-241-4-2-10-1-27	,,39
11A,2-5-29-12-16-1-14	,,39
11A,2-5-29-12-16-3-14	,,39
14,1-5-4-5-5-1-8       ,,40
14,1-5-4-5-5-3-5  ,,40
14,1-5-4-5-5-3-8,,40
14,1-5-4-5-5-27-8        ,,40
14,7-5-10-1-6-8-1	,,40
14,7-5-10-18-6-8-1        ,,40
14,7-5-10-18-6-58-1 ,,40
14,7-5-10-18-14-8-1,,40
14,7-11-10-1-6-8-1	,,40
14,7-11-10-1-451-8-1	,,39
14,8-8-4-15-39-12-26	,,39
14,8-11-10-1-6-8-1,,40
15A,2-13-2-15-6-1-1	,,39
15B,8-13-14-4-17-4-14	,,39
15C,7-41-2-6-10-26-1	,,39
16F,1-10-62-10-15-1-31	,,39
17F,7-5-1-1-6-31-14	,,39
18C,42-35-29-36-9-39-18	,,39
19A,2-19-2-17-6-22-14,,40
19A,4-16-19-15-6-20-1	,,39
19A,12-19-2-17-6-22-9,,40
19A,16-13-4-4-6-113-18	,,39
19F,1-5-1-1-1-1-8	,,39
19F,1-5-1-5-1-1-8	,,39
19F,1-5-4-5-5-3-8,,40
19F,1-5-4-12-5-3-159,,40
19F,1-5-106-12-10-4-14	,,39
19F,1-5-214-12-1-79-8	,,39
19F,2-5-4-5-27-20-5	,,39
19F,2-5-36-16-1-21-14,,40
19F ,4-4-2-4-4-1-1,,40
19F,4-16-19-15-6-20-1,,40
19F,4-16-19-15-6-20-26       ,,40
19F,7-5-8-5-10-6-14,,39
19F,7-11-10-1-6-58-1,,40
19F,7-11-10-1-8-8-1	,,39
19F,7-13-9-1-6-19-14	,,39
19F,7-16-19-15-6-20-26	,,40
19F,10-41-47-1-6-14-2,,40
19F,15-16-19-10-6-20-26	,,39
19F,15-16-19-15-6-4-26	,,39
19F,15-16-19-15-6-20-26	,,39
19F,18-5-4-1-6-11-8	,,39
19F,18-43-4-1-6-4-8	,,39
19F,327-5-4-5-27-20-5	,,39
20,5-31-8-295-9-1-665	,,39
22F,1-1-4-1-18-58-17	,,39
23F,1-2-9-10-6-4-6	,,39
23F,1-8-4-1-1-4-6	,,39
23F,1-8-6-2-6-4-6	,,39
23F,1-8-9-2-6-4-6	,,39
23F,1-8-9-6-6-4-6	,,39
23F,1-8-9-10-6-4-6	,,39
23F,1-8-9-294-6-4-6	,,39
23F,2-13-2-4-9-1-1	,,39
23F,4-4-2-4-4-1-1,,40
23F,7-13-8-1-10-6-36       ,,40
23F,7-13-8-1-10-6-171,,40
23F,15-29-4-21-30-1-14	,,40
23F,15-29-4-21-30-1-157	,,40
23F,29-33-19-1-36-22-268,,40
35F,2-7-4-16-10-40-27	,,39